donation,gender,age,edu,spouse,housing,nfamily,inc
1800000,1,55,6,2,31,62,678
60000,2,65,5,2,33,62,640
360000,1,58,2,2,31,62,678
360000,2,58,3,2,31,62,678
180000,1,52,5,2,31,62,678
1600000,1,37,3,2,31,64,660
30000,2,34,4,2,31,64,650
120000,1,48,5,2,32,64,640
120000,2,48,5,2,32,64,640
120000,2,14,2,1,32,64,640
80000,1,35,4,1,31,61,640
50000,1,39,4,1,31,63,640
10000,2,72,1,2,31,62,620
120000,1,28,4,1,33,61,620
10000,1,65,3,2,31,62,630
10000,1,76,1,2,31,62,620
10000,1,47,3,2,31,64,660
50000,1,32,6,1,32,61,620
120000,1,51,3,2,31,64,630
30000,2,24,5,1,33,61,630
360000,2,49,3,2,31,62,640
70000,2,24,5,1,31,62,620
240000,2,47,4,2,32,64,660
480000,1,47,4,2,31,64,640
240000,1,41,4,2,31,64,650
120000,2,35,4,2,31,64,650
12000,2,48,3,5,34,61,620
360000,2,51,3,2,31,62,650
360000,2,45,5,2,31,63,640
200000,1,57,6,2,31,62,678
1200000,1,51,5,2,31,62,678
1200000,2,48,5,2,31,62,678
1200000,1,53,7,2,31,63,678
120000,2,53,5,2,31,63,678
120000,2,24,5,1,31,63,678
50000,2,37,6,2,31,64,678
120000,2,42,4,2,31,63,650
30000,1,55,5,2,31,62,678
240000,1,53,5,2,31,61,678
120000,1,54,5,2,31,61,678
120000,1,40,4,2,32,61,630
720000,2,45,5,2,31,64,660
160000,2,38,3,4,34,61,620
480000,2,49,4,2,31,62,640
25000,2,51,5,4,35,64,610
120000,2,61,3,2,31,62,630
240000,2,74,2,2,31,62,620
1080000,2,42,5,1,33,62,630
360000,1,55,5,2,32,64,650
1200000,1,50,5,2,31,63,678
10000,1,54,5,2,31,63,630
10000,2,39,4,2,31,64,640
360000,1,53,5,4,31,63,678
120000,2,43,4,3,32,61,650
240000,2,40,3,2,32,64,650
30000,2,66,2,5,32,64,650
360000,1,46,6,2,31,64,650
360000,2,42,5,2,31,64,650
120000,1,39,6,2,31,64,678
720000,2,56,3,2,31,63,678
10000,1,52,6,2,31,63,678
60000,2,18,5,1,31,63,678
10000,2,28,5,1,31,63,630
50000,1,77,3,2,31,62,620
50000,2,71,2,2,31,62,620
500000,2,57,4,2,31,63,660
300000,2,61,3,2,31,63,610
120000,1,58,4,4,33,61,640
240000,2,37,3,5,33,61,630
600000,1,49,5,2,31,61,678
300000,2,35,6,2,32,63,660
240000,2,29,5,2,32,62,660
1200000,1,25,4,1,32,64,678
120000,1,45,3,2,33,62,640
900000,1,61,4,2,33,61,678
50000,1,41,5,1,33,61,660
10000,2,32,5,1,33,62,610
30000,1,31,4,1,32,61,640
10000,1,51,7,2,35,64,640
250000,2,49,5,2,35,64,640
100000,1,38,6,2,32,63,678
240000,2,32,6,2,32,63,678
200000,1,32,5,1,33,61,650
360000,2,39,4,2,31,64,660
600000,1,44,4,2,31,64,660
240000,2,43,5,2,31,64,678
60000,1,40,4,2,31,63,650
60000,2,39,4,2,31,63,650
240000,2,50,3,2,31,62,678
120000,2,36,5,2,31,64,640
60000,2,48,3,2,31,64,660
360000,1,43,5,2,31,64,660
100000,2,63,3,2,32,62,678
360000,1,32,4,2,32,63,678
120000,2,46,5,2,31,64,678
84000,1,13,2,1,31,64,678
240000,2,59,6,2,31,63,678
120000,1,47,5,2,31,64,678
360000,2,45,5,2,31,64,678
480000,1,42,5,2,31,64,678
30000,2,43,5,2,31,64,678
30000,1,56,4,2,31,62,678
60000,1,54,3,2,31,63,678
200000,1,75,5,2,31,61,630
170000,2,44,4,2,31,64,640
10000,2,53,3,2,31,64,630
360000,2,43,3,2,33,64,650
24000,1,62,4,2,31,64,640
600000,1,51,5,2,31,63,640
600000,2,53,3,2,31,63,640
200000,2,50,5,2,32,64,650
600000,2,46,5,2,32,64,678
240000,1,39,6,2,32,62,678
240000,2,55,5,2,31,63,678
120000,1,27,5,1,31,63,678
600000,1,59,4,2,31,63,678
20000,1,50,4,2,31,64,678
300000,2,48,5,2,31,64,678
120000,1,45,5,2,31,64,660
360000,2,43,5,2,31,64,660
360000,2,35,6,1,31,64,660
2000000,1,47,5,2,31,64,650
120000,2,28,5,2,32,62,660
20000,2,51,5,1,32,61,630
240000,1,38,5,2,32,62,678
240000,2,29,5,2,32,62,678
20000,2,32,5,1,33,61,630
1000000,1,52,5,2,31,63,660
120000,1,46,3,2,31,63,650
20000,2,43,5,2,31,64,678
120000,2,52,5,2,31,64,678
480000,2,44,4,2,31,64,660
480000,1,48,5,4,35,61,650
20000,2,36,4,2,31,64,678
240000,1,50,4,2,31,63,630
360000,2,48,3,2,31,63,630
30000,2,27,5,1,31,63,678
