id,edu,age,debt,equity,income,slack,cs
40800291,3,G5,100,11469,3493,3181,1361
40800311,3,G5,3700,122880,2541,1237,1390
40800331,4,G5,66500,138970,8101,6153,2176
40900261,2,G5,0,39,718,617,591
40900281,6,G2,3000,24215,7133,6112,2787
40900291,1,G5,50,27645,4381,3981,4055
40900351,2,G5,0,4410,1851,1814,514
40900381,4,G3,2000,NA,2578,2267,2125
41000202,3,G4,6500,4465,5344,4786,1736
41000212,5,G3,5400,9860,2512,2235,2110
41000232,4,G4,4000,3135,1834,1479,2065
41000322,4,G4,4803,7725,4863,4371,5511
41100292,5,G2,0,45142,7990,6153,1610
41100302,5,G4,1000,11655,1865,1584,2062
41100382,5,G3,9200,24660,7615,6229,2800
41700221,6,G4,0,705,NA,358,504
41700261,7,G2,18000,30487,6076,4436,2216
41700361,4,G3,2000,915,7543,6869,1933
41700391,7,G5,19000,25285,10526,9291,1840
